,trial_id,protocol_or_trial_id,trial_title,therapeutic_area,disease,sponsor,sponsor_type,primary_endpoint,secondary_endpoint,contains_nct,nct_number,drug_id
1043,8966,TrialTroveID-008966,Multicenter phase II study of trastuzumab (herceptin; H) and vinorelbine (navelbine; N) as first-line therapy for HER2 overexpressing metastatic breast cancer (HER2+ MBC).,Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, GlaxoSmithKline","Industry, Top 20 Pharma, Industry, Top 20 Pharma",,,False,,18411
1044,8781,"GENENTECH-NYU-9901, NCI-G00-1905, NCT00009997, NYU-9901, TrialTroveID-008781",Herceptin and Paclitaxel in Locally Advanced Breast Cancer With Her-2 Overexpression,Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, National Institutes of Health/National Cancer Institute, New York University","Industry, Top 20 Pharma, Government, Academic",Safety and Tolerability,,True,NCT00009997,18411
1045,8774,"DMS-9904, NCI-G01-1932, NCT00014430, TrialTroveID-008774",Phase I Clinical Trial Of Vinorelbine (Navelbine) And Trastuzumab (Herceptin) In Patients with Carcinoma Of The Breast Or Non-Small Cell Lung Cancer And HER-2/NEU Overexpression,Oncology,"Oncology: Breast; Oncology: Lung, Non-Small Cell","National Institutes of Health/National Cancer Institute, Dartmouth-Hitchcock Norris Cotton Cancer Center, GlaxoSmithKline {Glaxo Wellcome}","Government, Academic, Industry, Top 20 Pharma","Maximum tolerated dose, Overall response rate",,True,NCT00014430,18411
1046,8698,"NCI-62, NCT00005842, SACI-IDD-99-26, TrialTroveID-008698, UTHSC-IDD-99-26",Phase I Study of R115777 and Trastuzumab (Herceptin) in Patients With Advanced or Metastatic Adenocarcinoma,Oncology,"Oncology: Breast; Oncology: Colorectal; Oncology: Lung, Non-Small Cell","National Institutes of Health/National Cancer Institute, University of Texas","Government, Academic",Maximum tolerated dose,,True,NCT00005842,18411
1047,8615,TrialTroveID-008615,Cardiac safety of trastuzumab in combination with epirubicin and cyclophosphamide in women with metastatic breast cancer; results of a phase I trial.,Oncology,Oncology: Breast,Ludwig Maximillian Universitaet Womens Hospital,Academic,Safety and Tolerability,,False,,18411
1048,6138,"C015, NCT00043394, TrialTroveID-006138","Phase I/II Open Label, Multi-Center Dose-Escalation Study of s.c. CpG 7909 plus Herceptin in Patients with Metastatic Breast Cancer",Oncology,Oncology: Breast,Pfizer {Coley Pharmaceutical Group},"Industry, Top 20 Pharma",,,True,NCT00043394,18411
1049,3365,"M77001, MREC 99/0/73, N0236106495, TrialTroveID-003365","A Multicenter, Randomized Comparative Study on the Efficacy and Safety of Herceptin (Trastuzumab) Plus Docetaxel (Taxotere) Versus Docetaxel Alone as First Line Treatment in Patients with HER2-Positive Metastatic Breast Cancer",Oncology,Oncology: Breast,Roche {F. Hoffmann-La Roche},"Industry, Top 20 Pharma","Overall response rate, Response rate","Overall survival, Progression-free survival, Time to progression, Time to treatment failure",False,,18411
1050,2881,"E-2598, ECOG-2598, ECOG-E2598T1, NCT00003881, NCT00896909, TrialTroveID-002881","Phase II Pilot Trial of Carboplatin, Paclitaxel, and Herceptin in HER2/Neu (+) Advanced NSCLC",Oncology,"Oncology: Lung, Non-Small Cell","Eastern Cooperative Oncology Group (ECOG), National Institutes of Health/National Cancer Institute, ECOG-ACRIN Cancer Research Group","Cooperative Group, Government, Cooperative Group",Time to progression,,True,NCT00003881,18411
1051,2846,"NCI-V96-0947, TrialTroveID-002846, UCLA-HSPC-9510492",Efficacy and safety of trastuzumab as a single agent in first-line treatment of HER2-overexpressing metastatic breast cancer.,Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, Jonsson Comprehensive Cancer Center, UCLA","Industry, Top 20 Pharma, Academic","Duration of overall response, Overall response rate, Quality of Life, Safety and Tolerability, Time to progression",,False,,18411
1052,2806,"LCCC 9925, LCCC9925, NCI-G00-1835, NCT00006109, NCT00943410, TrialTroveID-002806, UNC-9925, UNC-LCCC9925",Phase II Trial of Herceptin Concurrent With External Beam Radiation Following Neoadjuvant Chemotherapy for the Treatment of HER2 Over-Expressing Breast Cancer,Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, National Institutes of Health/National Cancer Institute, UNC Lineberger Comprehensive Cancer Center","Industry, Top 20 Pharma, Government, Academic",,"Complete response, Overall response rate, Recurrence, Response rate",True,NCT00006109,18411
1053,2800,"MSKCC-98028, NCI-G98-1473, NCT00003539, TrialTroveID-002800",Phase II Study of Weekly 1-Hour Paclitaxel (Taxol) Plus Recombinant Humanized Anti-p185HER2 Monoclonal Antibody (Herceptin) in the Treatment of Patients With Metastatic Breast Cancer.,Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, Memorial Sloan-Kettering Cancer Center, National Institutes of Health/National Cancer Institute","Industry, Top 20 Pharma, Academic, Government",Safety and Tolerability,,True,NCT00003539,18411
1054,2762,"E2198, E-2198, ECOG-2198, NCT00003992, TrialTroveID-002762",Phase II Randomized Pilot Study of Paclitaxel Plus Trastuzumab (Herceptin) Followed By Adjuvant Chemotherapy in Women With Node Positive Stage II or IIIA Breast Cancer With HER2 Overexpression,Oncology,Oncology: Breast,"Eastern Cooperative Oncology Group (ECOG), National Institutes of Health/National Cancer Institute","Cooperative Group, Government",Safety and Tolerability,,True,NCT00003992,18411
1055,2567,"99-11-084, AVENTIS-GIA-11156, CDR0000321924, GENENTECH-H2269s, NCT00068341, TrialTroveID-002567",Neoadjuvant Treatment and Molecular Characterization of Locally Advanced Breast Cancer.,Oncology,Oncology: Breast,"Sanofi {Sanofi-Aventis {Aventis}}, Roche/Genentech {Genentech}, Jonsson Comprehensive Cancer Center, UCLA, National Institutes of Health/National Cancer Institute","Industry, Top 20 Pharma, Industry, Top 20 Pharma, Academic, Government","Complete response, Disease Progression, Magnetic Resonance Imaging, Overall response rate, Partial response, Stable Disease","Complete response, Magnetic Resonance Imaging",True,NCT00068341,18411
1056,2207,"NCI-T98-0078, NCT00003995, PCI-98-056, TrialTroveID-002207","Phase II and Pharmacokinetic Study of CPT-11 and Trastuzumab (RhuMab HER2, Herceptin) in Advanced Colo-Rectal Cancer With p185 HER 2 Overexpression",Oncology,Oncology: Colorectal,"Roche/Genentech {Genentech}, Pfizer {Pharmacia}, National Institutes of Health/National Cancer Institute, University of Pittsburgh","Industry, Top 20 Pharma, Industry, Top 20 Pharma, Government, Academic","Overall response rate, Overall survival, Safety and Tolerability, Time to progression",,True,NCT00003995,18411
1057,2201,"99-C-0121, NCI-99-C-0121, NCI-T98-0087, NCT00019812, TrialTroveID-002201",Phase II Study of Trastuzumab (Herceptin) and Paclitaxel in Patients With HER2-Overexpressing Metastatic Breast Cancer,Oncology,Oncology: Breast,National Institutes of Health/National Cancer Institute,Government,,,True,NCT00019812,18411
1058,1422,"EU-20236, FNCLCC-PACS 04, FNCLCC-PACS04, FRE-FNCLCC-PACS-04/0005, NCT00054587, PACS 04, PACS04, TrialTroveID-001422, UCBG 2-04, UNICANCER PACS04","Randomized And Multicentric Opened Phase III Study Evaluating The Concomitant Administration Of Docetaxel 75MG/M2 and Epirubicine 75MG/M2 Versus FEC 100 In Non Metastatic With Positive Lymphatic Nodes Breast Cancer Subjects, And The Sequential Addition Of Herceptin In (HER2+++) And (HER2++ And FISH+) Subjects.",Oncology,Oncology: Breast,Federation Nationale des Centres de Lutte contre le Cancer,Cooperative Group,"Disease-free survival, Progression-free survival, Safety and Tolerability","Overall survival, Quality of Life, Safety and Tolerability",True,NCT00054587,18411
1059,1398,"ACTRN12607000011482, ANZ 0101, B.R.E.A.S.T.: BIG 01-01, BIG 1-01, BIG 1-01 HERA, BIG 1-01/BO 16348, BIG-01-01, BIG01-01/BO16348B, BO16348, CAN-NCIC-MA24, EORTC-10011, EU-20216, EudraCT Number: 2005-002385-11, HERA, IBCSG-28-02, ISRCTN82811952, JapicCTI-050188, JapicCTI-R160883, MA24, MREC01/1/68, N0258107389, N0265110588, NCRN-725, NCT00045032, NCTR446, ROCHE-B016348B, ROCHE-B016348C, ROCHE-B016348E, TrialTroveID-001398, UKCRN ID: 725","A Randomized Three-Arm, Multicenter Comparison of 1 Year and 2 Years of Herceptin Versus No Herceptin in Women With HER2-Positive Primary Breast Cancer Who Have Completed Adjuvant Chemotherapy, , HERceptin Adjuvant (HERA) study.",Oncology,Oncology: Breast,"Breast International Group, Canadian Cancer Trials Group {NCIC Clinical Trials Group}, International Breast Cancer Study Group, Roche/Chugai Pharmaceutical, EORTC Breast Cancer Group, Roche {F. Hoffmann-La Roche}","Cooperative Group, Cooperative Group, Cooperative Group, Industry, Top 20 Pharma, Cooperative Group, Industry, Top 20 Pharma","Disease-free survival, Overall survival, Recurrence, Safety and Tolerability, Safety and Tolerability","Chest discomfort, Congestive heart failure, Disease-free survival, Myocardial infarction (safety), Myocardial infarction, New York Heart Association Class, Overall survival, Recurrence, Safety and Tolerability, Safety and Tolerability",True,NCT00045032,18411
1060,1267,"E1100, E-1100, ECOG1100, ECOG-1100, NCT00024154, TrialTroveID-001267","A Phase I/II Trial of Herceptin and ZD1839 (Iressa, NSC #715055, IND#61187) in Patients With Metastatic Breast Cancer That Overexpresses HER2/Neu (erbB-2)",Oncology,Oncology: Breast,"Eastern Cooperative Oncology Group (ECOG), National Institutes of Health/National Cancer Institute","Cooperative Group, Government",Time to progression,,True,NCT00024154,18411
1061,1256,"2582, NCT00041067, S0215, SWOG-S0215, TrialTroveID-001256, UMCC 2003.092, URCC C 3102","Docetaxel (NSC-628503) And Vinorelbine (NSC-608210) Plus Filgrastim (NSC-614629) With Weekly Trastuzumab (NSC-688097) For HER-2 Positive, Stage IV Breast Cancer.",Oncology,Oncology: Breast,"Southwest Oncology Group, National Institutes of Health/National Cancer Institute","Cooperative Group, Government",,"Adverse Events, Complete response, Overall response rate, Progression-free survival, Response evaluation criteria in solid tumors, Response rate",True,NCT00041067,18411
1062,1136,"DM99-244, TrialTroveID-001136","A Phase II, Multicenter, Single-Arm Study Of Herceptin (Trastuzumab) In Subjects With Her2-Overexpressing Colorectal Cancer Who Have Not Received Prior Cytotoxic Chemotherapy For Metastatic Disease.",Oncology,Oncology: Colorectal,Roche/Genentech {Genentech},"Industry, Top 20 Pharma",,,False,,18411
1063,1119,"007516, TrialTroveID-001119",Phase II Trial of Weekly Docetaxel (Taxotere) Plus Capecitabine (Xeloda) and Trastuzumab (Herceptin) for Patients with HER2/neu Expressing Stage IV Breast Cancer.,Oncology,Oncology: Breast,"Sanofi {Sanofi-Aventis {Aventis}}, Roche/Genentech {Genentech}, Roche, UCSF Comprehensive Cancer Center","Industry, Top 20 Pharma, Industry, Top 20 Pharma, Industry, Top 20 Pharma, Academic",Overall response rate,"Duration of overall response, Quality of Life, Safety and Tolerability, Time to progression, Time to treatment failure",False,,18411
1064,1104,"TrialTroveID-001104, UPCI 01-013",A Phase II Study of Neoadjuvant Taxotere/Navelbine plus Herceptin followed by Adjuvant Adriamycin and Cytoxan in Women with HER-2 Overexpressing Locally Advanced Breast Cancer.,Oncology,Oncology: Breast,University of Pittsburgh Cancer Institute,Academic,Complete response,"Overall response rate, Safety and Tolerability",False,,18411
1065,1095,"1144-05-6R5, NCT00134680, TrialTroveID-001095",Phase II Trial of the Combination of Letrozole 2.5 mg Daily and Trastuzumab 2 mg/Kg Weekly in ErbB2 Positive and Estrogen Receptor and/or Progesterone Receptor Positive Metastatic Breast Cancer.,Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, Novartis, Duke University Medical Center","Industry, Top 20 Pharma, Industry, Top 20 Pharma, Academic","Complete response, Partial response","Duration of overall response, Safety and Tolerability, Time to progression",True,NCT00134680,18411
1066,892,"BG-IDBBC EORTC10995, BO16228, ECSG-EORTC 10995, EORTC 10995, EORTC-10995, EORTC-10995-16999, EORTC-16999, IDBBC-EORTC-10995, N0394123372, NCT00036868, TrialTroveID-000892",A Randomized Phase II Study Of CMF Alone And In Combination With Anti c-erbB2 Antibody (Herceptin) In Women With c-erbB2 Positive Metastatic Breast Cancer.,Oncology,Oncology: Breast,"EORTC European Organisation for Research and Treatment of Cancer, National Institutes of Health/National Cancer Institute, Roche {F. Hoffmann-La Roche}","Cooperative Group, Government, Industry, Top 20 Pharma","Cardiac Telemetry, Congestive heart failure, Overall response rate, Response evaluation criteria in solid tumors, Response rate","Duration of overall response, Response evaluation criteria in solid tumors, Time to progression",True,NCT00036868,18411
1067,890,"BCIRG 101, BCIRG-101-102, TrialTroveID-000890",Open label Multicentre phase II pilot studies with Herceptin in combination with docetaxel and platinum salts (Cis or Carboplatin) (TCH) as therapy for advanced breast cancer in women with tumors over-expressing the HER2-neu proto-oncogene,Oncology,Oncology: Breast,"Sanofi {Sanofi-Aventis {Aventis}}, Breast Cancer International Research Group, University of California Los Angeles, Roche {F. Hoffmann-La Roche}","Industry, Top 20 Pharma, Cooperative Group, Academic, Industry, Top 20 Pharma","Overall response rate, Safety and Tolerability","Duration of overall response, Overall survival, Time to progression",False,,18411
1068,866,"MSKCC-00078, NCI-G00-1869, NCT00006381, TrialTroveID-000866",Phase II Study of Celecoxib in HER-2/Neu Overexpressing Metastatic Breast Cancer Patients Who Have Failed Recombinant Humanized Anti-p 185HER Monoclonal Antibody Trastuzumab (HERCEPTIN),Oncology,Oncology: Breast,"Memorial Sloan-Kettering Cancer Center, National Institutes of Health/National Cancer Institute","Academic, Government",,Safety and Tolerability,True,NCT00006381,18411
1069,855,"ID99-146, NCT00038402, TrialTroveID-000855",Evaluation of the Addition of Herceptin to Standard Chemotherapy in the Neoadjuvant Setting for Operable Breast Cancer.,Oncology,Oncology: Breast,"Bristol-Myers Squibb, Roche/Genentech {Genentech}, Pfizer {Pharmacia}, MD Anderson Cancer Center, University of Texas","Industry, Top 20 Pharma, Industry, Top 20 Pharma, Industry, Top 20 Pharma, Academic",Complete response,,True,NCT00038402,18411
1070,725,"MSKCC-98085, NCI-G99-1493, NCT00003740, TrialTroveID-000725",Phase II Study of Herceptin (Recombinant Humanized Anti-p185HER2 Monoclonal Antibody) for the Treatment of Androgen Independent Prostate Cancer,Oncology,Oncology: Prostate,"Memorial Sloan-Kettering Cancer Center, National Institutes of Health/National Cancer Institute","Academic, Government",,,True,NCT00003740,18411
1071,679,"99118, CHNMC-PHII-19, NCI-T98-0090, NCT00005857, T98-0090, TrialTroveID-000679",Randomized Phase II Trial of Herceptin (NSC 688097) and Weekly Docetaxel (NSC 628503) in Androgen-Independent (Horomone Refractory) Adenocarcinoma of the Prostate (CaP),Oncology,Oncology: Prostate,"Sanofi {Sanofi-Aventis {Aventis}}, Roche/Genentech {Genentech}, National Institutes of Health/National Cancer Institute, City of Hope Comprehensive Cancer Center","Industry, Top 20 Pharma, Industry, Top 20 Pharma, Government, Academic",,,True,NCT00005857,18411
1072,373,"FHCRC-1338.00, GENENTECH-FHCRC-1338.00, NCI-G99-1557, NCT00004013, TrialTroveID-000373",Treatment of Refractory Stage IV Metastatic Breast Cancer With Weekly Paclitaxel or Weekly Paclitaxel and Herceptin Following Autologous/Syngeneic Stem Cell Transplant.,Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, National Institutes of Health/National Cancer Institute, Fred Hutchinson Cancer Research Center","Industry, Top 20 Pharma, Government, Academic",Overall survival,,True,NCT00004013,18411
1073,369,"GENENTECH-H1994g, MSKCC-99118, NCI-G00-1769, NCT00005635, TrialTroveID-000369",Phase II Randomized Study of Subcutaneous Trastuzumab (Herceptin) Plus Paclitaxel in Women With HER2 Overexpressing Metastatic Breast Cancer,Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, Memorial Sloan-Kettering Cancer Center, National Institutes of Health/National Cancer Institute","Industry, Top 20 Pharma, Academic, Government","Safety and Tolerability, Safety and Tolerability",,True,NCT00005635,18411
1074,283,"150002/9840, C9840, CALGB 150002, CALGB 9840, CALGB-150002/9840, CALGB-9840, CLB-9840, NCT00003440, TrialTroveID-000283",A Phase III Study of Paclitaxel Via Weekly One Hour Infusion Versus Standard Three Hour Infusion Every Three Weeks in the Treatment of Patients With Metastatic Breast Cancer.,Oncology,Oncology: Breast,"Cancer and Leukemia Group B (CALGB), National Institutes of Health/National Cancer Institute, Cancer Trials Support Unit - CTSU/NCI","Cooperative Group, Government, Cooperative Group","Overall response rate, Response rate",Time to progression,True,NCT00003440,18411
1075,274,"LCCC 9818, LCCC9818, NCI-G00-1836, NCT00006110, NCT01000883, TrialTroveID-000274, UNC-9818, UNC-LCCC-9819","A Nonrandomized Phase II Study of Multimodality Therapy for Stage IIB, IIIA/B, or Initially Presenting Stage IV Breast Cancer With Four Cycles of AC Followed by 12 Weeks of Single Agent Paciltaxel With or Without Herceptin Followed by Local Therapy Followed by Weekly Herceptin or No Additional Therapy",Oncology,Oncology: Breast,"Bristol-Myers Squibb, Roche/Genentech {Genentech}, National Institutes of Health/National Cancer Institute, UNC Lineberger Comprehensive Cancer Center","Industry, Top 20 Pharma, Industry, Top 20 Pharma, Government, Academic",,"Complete response, Disease-free survival, Magnetic Resonance Imaging, Partial response, Response evaluation criteria in solid tumors",True,NCT00006110,18411
1076,267,"EU-99028, NCT00004935, SAKK 22/99, SWS-SAKK-22/99, TrialTroveID-000267, ZOOM SAKK 22/99",Randomized Phase III Trial of Herceptin Followed by Chemotherapy Plus Herceptin Versus the Combination of Herceptin and Chemotherapy as Palliative Treatment in Patients With HER2- Overexpressing Advanced/Metastatic Breast Cancer,Oncology,Oncology: Breast,Swiss Group for Clinical Cancer Research - SAKK,Cooperative Group,Time to progression,"Adverse Events, Overall response rate, Overall survival, Response rate, Time to treatment failure",True,NCT00004935,18411
1077,265,"01-03-064, E-3198, ECOG-3198, NCT00004888, TrialTroveID-000265",A Safety and Efficacy Study of Doxil and Taxotere +/- Herceptin in Advanced Breast Cancer,Oncology,Oncology: Breast,"Eastern Cooperative Oncology Group (ECOG), National Institutes of Health/National Cancer Institute","Cooperative Group, Government","Congestive heart failure, Safety and Tolerability","Brain Natriuretic Peptide concentration, Congestive heart failure, N-Terminal Pro-Brain Natriuetic Peptide concentration, Overall response rate, Overall survival, Progression-free survival, Time to treatment failure",True,NCT00004888,18411
1078,261,"20000348, B-31, NCT00004067, NCT01424865, NRG Oncology/NSABP B-31, NSABP B31, NSABP B-31, NSABP-B-31, NSABP-B31-ICSC-A, TrialTroveID-000261",A Randomized Trial Comparing the Safety and Efficacy of Adriamycin and Cyclophosphamide Followed by Taxol (AC-T) to That of Adriamycin and Cyclophosphamide Followed by Taxol Plus Herceptin (AC-T+H) in Node-Positive Breast Cancer Patients Who Have Tumors That Overexpress HER2,Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, National Surgical Adjuvant Breast and Bowel Project (NSABP), National Institutes of Health/National Cancer Institute","Industry, Top 20 Pharma, Cooperative Group, Government","Disease-free survival, Recurrence",,True,NCT00004067,18411
1079,234,"CLB-89902, NCT00006015, TrialTroveID-000234","Phase II Study Evaluating the Combination of 5-Fluorouracil, Leucovorin, Oxaliplatin, and Herceptin in the Treatment of Patients With Metastatic Colorectal Cancer Who Have Progressed After 5-FU and/or Irinotecan-Containing Therapy",Oncology,Oncology: Colorectal,"Cancer and Leukemia Group B (CALGB), National Institutes of Health/National Cancer Institute","Cooperative Group, Government","Overall response rate, Response rate, Time to progression",,True,NCT00006015,18411
1080,197,"CCUM-9955, NCI-198, NCT00005831, NCT00151034, TrialTroveID-000197, UMCC 9955, UPCI 01-029, WSU-C-2078","Phase II Evaluation of Trastuzumab (Herceptin), Paclitaxel, Carboplatin, and Gemcitabine in the Treatment of Advanced Urothelial Cancer",Oncology,Oncology: Bladder; Oncology: Renal,"Roche/Genentech {Genentech}, National Institutes of Health/National Cancer Institute, University of Michigan Comprehensive Cancer Center","Industry, Top 20 Pharma, Government, Academic",,Time to progression,True,NCT00005831,18411
1081,189,"DM99-315, HSC-01-178, PCRN 2001-0055, TrialTroveID-000189",Randomized Study of Weekly Vinorelbine plus Trastuzumab for Patients with HER2-positive Breast Cancer Who Have Failed Previous Taxane/Trastuzumab Combination Therapy,Oncology,Oncology: Breast,"MD Anderson Cancer Center, University of Texas",Academic,,,False,,18411
1082,179,"NCCTG 98-32-52, NCCTG-983252, NCT00003612, TrialTroveID-000179","Phase II Study of Paclitaxel, Carboplatin, and Trastuzumab (Herceptin) as First-Line Chemotherapy in Women With Overexpressed HER-2, Metastatic Breast Cancer",Oncology,Oncology: Breast,"Bristol-Myers Squibb, Roche/Genentech {Genentech}, North Central Cancer Treatment Group (NCCTG), National Institutes of Health/National Cancer Institute, Alliance for Clinical Trials in Oncology","Industry, Top 20 Pharma, Industry, Top 20 Pharma, Cooperative Group, Government, Cooperative Group","Overall response rate, Response rate",Time to progression,True,NCT00003612,18411
1083,169,"ACTRN12607000032459, ANZBCTG 0102, BCIRG 007, BCIRG 07, BCIRG-007, GENENTECH-UCLA-0109024, NCI-G02-2116, NCT00047255, ROCHE-UCLA-0109024, TrialTroveID-000169, UCLA-0109024, WO16437","A Multicenter Phase III Randomized Trial Comparing Docetaxel (Taxotere) and Trastuzumab (Herceptin) With Docetaxel (Taxotere), Carboplatin and Trastuzumab (Herceptin) as First Line Chemotherapy for Patients With Advanced Breast Cancer Containing the HER2 Gene Amplification",Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, (Other Cooperative Group), Breast Cancer International Research Group, Jonsson Comprehensive Cancer Center, UCLA, National Institutes of Health/National Cancer Institute, Sanofi {Sanofi-Aventis}","Industry, Top 20 Pharma, Cooperative Group, Cooperative Group, Academic, Government, Industry, Top 20 Pharma","Disease Progression, Time to progression","Duration of overall response, Overall response rate - duration, Overall response rate, Overall survival, Response rate, Stable Disease, Time to progression",True,NCT00047255,18411
1084,145,"9343, C49909, CALGB-49909, CAN-NCIC-MA.28, CAN-NCIC-MA28, ECOG-N9831, GUMC-00224, H01-053, MA.28, N9831, NCCTG N9831, NCCTG-N9831, NCCTG-N9831D-NCCTG-ICSC, NCCTG-N9831-ICSC, NCI-2012-01849, NCIC-MA.28, NCT00005970, NCT00898898, NCT01562288, SWOG-N9831, TrialTroveID-000145",Phase III Trial of Doxorubicin and Cyclophosphamide (AC) Followed by Weekly Paclitaxel With or Without Trastuzumab as Adjuvant Treatment for Women With HER-2 Over-Expressing or Amplified Node Positive or High-Risk Node Negative Breast Cancer,Oncology,Oncology: Breast,"Roche/Genentech {Genentech}, Cancer and Leukemia Group B (CALGB), Eastern Cooperative Oncology Group (ECOG), Canadian Cancer Trials Group {NCIC Clinical Trials Group}, North Central Cancer Treatment Group (NCCTG), Southwest Oncology Group, National Institutes of Health/National Cancer Institute, National Cancer Institute of Canada, Breast Cancer Research Foundation","Industry, Top 20 Pharma, Cooperative Group, Cooperative Group, Cooperative Group, Cooperative Group, Cooperative Group, Government, Government, Not for Profit Funding Entity","Adverse Events, Disease-free survival, Overall survival","Adverse Events, Brain Natriuretic Peptide concentration, Disease-free survival, Overall survival, Recurrence",True,NCT00005970,18411
1085,144,"CALGB 49808, CLB-49808, NCI-2012-02380, NCT00016276, TrialTroveID-000144",A 2X2X2 Factorial Randomized Phase III Trial Of Multimodality Therapy Comparing 4 Cycles Of Doxorubicin And Cyclophosphamide With Or Without Dexrazoxane (AC+/-Z) Followed By 12 Weeks Of Weekly Paclitaxel With Or Without Trastuzumab (T+/-H) Followed By Local Therapy Followed By 40 Weeks Of Weekly Trastuzumab Or None In Women With HER-2+ Stage IV Breast Cancer.,Oncology,Oncology: Breast,"Cancer and Leukemia Group B (CALGB), National Institutes of Health/National Cancer Institute, Cancer Trials Support Unit - CTSU/NCI","Cooperative Group, Government, Cooperative Group","Complete response, Disease-free survival, NCI-CTC scale","Overall survival, Recurrence",True,NCT00016276,18411
1086,133,"20010537, AVENTIS-TAX-GMA-302, BCIRG 006, BCIRG-006, EudraCT Number: 2008-005127-29, HKUCTR-79, MREC01/2/17, N0063143032, N0170111131, NCI-G01-1978, NCT00021255, NCT00768092, TAX GMA 302, TAX_GMA_302, TrialTroveID-000133, UAB-0106, UAB-F010326012, UCLA-0102006, UCLA-010200601","Multicenter Phase III Randomized Trial Comparing Doxorubicin And Cyclophosphamide Followed By Docetaxel (AC-T) With Doxorubicin And Cyclophosphamide Followed By Docetaxel And Tastuzumab (AC-TH) And With Docetaxel, Platinum Salt And Trastuzumab (TCH) In The Treatment Of Node Positive And High Risk Node Negative Adjuvant Patients With Operable Breast Cancer Containing The HER2NEU Alteration.",Oncology,Oncology: Breast,"Sanofi {Sanofi-Aventis {Aventis}}, Roche/Genentech {Genentech}, Breast Cancer International Research Group, Jonsson Comprehensive Cancer Center, UCLA, National Institutes of Health/National Cancer Institute","Industry, Top 20 Pharma, Industry, Top 20 Pharma, Cooperative Group, Academic, Government",Disease-free survival,"Disease-free survival, Overall survival, Quality of Life, Safety and Tolerability",True,NCT00021255,18411
1087,121,"BO16216, CWRU-030118, GENENTECH-H2223g, NCT00022672, ROCHE-1100, ROCHE-B016216F, ROCHE-BO16216, TAnDEM, TrialTroveID-000121","A Randomized, Open-label Study of the Effect of Herceptin Plus Arimidex Compared With Arimidex Alone on Progression-free Survival in Patients With HER2-positive and Hormone-receptor Positive Metastatic Breast Cancer.",Oncology,Oncology: Breast,Roche/Genentech {Genentech},"Industry, Top 20 Pharma","Disease Progression, Progression-free survival","Adverse Events, Clinical benefit rate, Complete response, Duration of overall response, Overall survival, Partial response, Response rate, Safety and Tolerability, Stable Disease, Time to response",True,NCT00022672,18411
1088,83,"MDA-DM-99015, NCI-4450, NCT00016367, TrialTroveID-000083","Phase II Multidose, Single Arm, Multicenter Clinical Trial of Cisplatin and Gemcitabine in Combination With Recombinant Humanized Anti-p185HER2 Monoclonal Antibody (Herceptin) in Patients Who Have Untreated p185HER2 Overexpressing Advanced Local Stage (Stage IIIb Pleural Effusion Only) and Metastatic (Stage IV) Non-Small Cell Lung Cancer",Oncology,"Oncology: Lung, Non-Small Cell","Roche/Genentech {Genentech}, MD Anderson Cancer Center, University of Texas, National Institutes of Health/National Cancer Institute","Industry, Top 20 Pharma, Academic, Government",Safety and Tolerability,,True,NCT00016367,18411
1089,60,"99-095, BRUOG-PA-77, NCI-T98-0067, NCT00003797, TrialTroveID-000060",Herceptin (NSC #688097) and Gemcitabine for Metastatic Pancreatic Cancers That Overexpress HER-2/NEU,Oncology,Oncology: Pancreas,"National Institutes of Health/National Cancer Institute, Brown University Oncology Group","Government, Cooperative Group","Overall response rate, Response rate",,True,NCT00003797,18411
1090,363730,"2020-0231, CMN-001-1, NCT04203901, TrialTroveID-363730",A Phase IIb Randomized Trial of Autologous Dendritic Cell Immunotherapy (CMN-001) Plus Standard Treatment of Advanced Renal Cell Carcinoma,Oncology,Oncology: Renal,SCM Lifescience/CoImmune {Argos Therapeutics},"Industry, all other pharma",Overall survival,"Adverse Events, Immune-related response evaluation criteria in solid tumors, Progression-free survival, Treatment Emergent Adverse Events",True,NCT04203901,27041
1091,282655,TrialTroveID-282655,A Phase II Study of AGS-003 in Combination with Other Therapies in Patients with Pediatric Glioblastoma.,Oncology,"Oncology: CNS, Glioblastoma",SCM Lifescience/CoImmune {Argos Therapeutics},"Industry, all other pharma",,,False,,27041
1092,271921,"AGS-003-024, NCT02662634, TrialTroveID-271921",A Safety and Feasibility Study of AGS-003-LNG for the Treatment of Stage 3 Non Small Cell Lung Cancer,Oncology,"Oncology: Lung, Non-Small Cell",(Other Hospital/Academic/Medical Center),Academic,"Adverse Events, Common Terminology Criteria for Adverse Events, Safety and Tolerability","Complete response, Overall response rate, Overall survival, Partial response, Progression-free survival, Resection rate, Response evaluation criteria in solid tumors",True,NCT02662634,27041
